titulo,pre_informacion,cuerpo,post_informacion,ayuda,editable,no_aplica,opcional
Adenda,<p>Las modificaciones al presente procedimiento de contratación&nbsp;son los indicados a continuación:&nbsp;</p>,,"<p>La adenda es el documento emitido por la convocante, mediante la cual se modifican aspectos establecidos en las bases de la contratación. A los efectos legales, la adenda será considerada parte integrante del documento cuyo contenido modifique.</p>

<p>La convocante podrá introducir modificaciones cuando se ajuste a los parámetros establecidos en la Ley.</p>

<p>Las adendas serán difundidas en el SICP respetando los plazos establecidos en la resolución matriz de normas.</p>

<p><strong>Obs</strong>: <strong>Cuando la convocante requiera prorrogar la fecha tope de presentación y apertura de ofertas, sin modificar los demás datos e información de las bases de la contratación, será difundida automáticamente a través del SICP y no se instrumentará a traves de adenda.</strong></p>","<p>Las modificaciones a las cláusulas del pliego&nbsp;se realizarán en el módulo ""Pliego Electrónico""&nbsp;en la propia claúsula y automáticamente&nbsp;se visualizará en este apartado el&nbsp;nombre de la cláusula modificada y las modificaciones en la versión publicada, acompañado de un enlace donde se podrá consultar el comparador con todos los detalles.</p>

<p>En este apartado, se deberá indicar únicamente las modificaciones de los datos cargados en el SICP, relativos al presente&nbsp;llamado y al pliego de bases y condiciones. Recordar que las adendas deberán estar numeradas.&nbsp;</p>

<p>Ejemplos a indicar en este apartado: porcentaje de la garantía de mantenimiento de oferta, indicación de si es contrato abierto o no, entre otros.</p>

<p><strong>Obs</strong>: <strong>Cuando la convocante requiera prorrogar la fecha tope de presentación y apertura de ofertas, sin modificar los demás datos e información de las bases de la contratación, será difundida automáticamente a través del SICP y no se instrumentará a traves de adenda.</strong></p>",True,False,False
Datos de la Convocatoria,,"<p><strong>Los datos de la licitación serán consignados en esta sección y en el Sistema de Información de Contrataciones Públicas (SICP), los mismos forman parte de los documentos del presente procedimiento de contratación.</strong></p>",,"<p><em>Las redacciones en letra cursiva son indicaciones para que las convocantes completen. En caso de no aplicar alguna de las cláusulas, deberá indicarse <strong>“No Aplica”</strong>. Así mismo, se debe eliminar esta aclaración pues sólo se incluye como instructivo para completar el PBC.</em></p>

<p><em>Las convocantes deberán agregar el símbolo </em>“CPS”<em> a los criterios, cláusulas o especificaciones técnicas sostenibles incluidos en forma voluntaria, adicionalmente a los ya identificados en este PBC en carácter estándar.&nbsp;</em></p>",False,False,False
Difusión de los documentos de la Convocatoria,,<p>Todos los datos y documentos de este procedimiento de contratación deben ser obtenidos directamente del (SICP). Es responsabilidad del oferente examinar todos los documentos y la información de la convocatoria que obren en el mismo.</p>,,,False,False,False
Contratación Pública Sostenibles - CPS,,"<p><strong>Las compras públicas juegan un papel fundamental en el desarrollo sostenible. El Estado por medio de las actividades de compra de bienes y/o servicios sostenibles, busca incentivar la generación de nuevos emprendimientos, modelos de negocios innovadores y el consumo sostenible. La introducción de criterios y especificaciones técnicas con consideraciones sociales, ambientales y económicas tiene como fin contribuir con el Desarrollo Sostenible en sus tres dimensiones.</strong></p>

<p>&nbsp;</p>

<p><strong>En este sentido, Paraguay cuenta con una Política de Compras Públicas Sostenibles y una guía práctica para las convocantes y oferentes, a las cuales se deberán de ajustar y que se encuentran disponibles en los siguientes links: <a href=""https://www.contrataciones.gov.py/dncp/compras-publicas-sostenibles/plan-de-accion-compras-publicas-sostenibles/"" style=""color:blue; text-decoration:underline"">https://www.contrataciones.gov.py/dncp/compras-publicas-sostenibles/plan-de-accion-compras-publicas-sostenibles/</a> y <a href=""https://www.contrataciones.gov.py/dncp/guia-practica-de-compras-publicas-sostenibles-para-convocantes/compras_publicas_sostenibles/"" style=""color:blue; text-decoration:underline"">https://www.contrataciones.gov.py/dncp/guia-practica-de-compras-publicas-sostenibles-para-convocantes/compras_publicas_sostenibles/</a></strong></p>

<p><strong>El símbolo “CPS” en este pliego de bases y condiciones, es utilizado para indicar criterios o especificaciones sostenibles.</strong></p>",,,False,False,False
Aclaración de los documentos de la convocatoria,,"<p>Todo potencial oferente que necesite alguna aclaración de la convocatoria o del pliego de bases y condiciones, podrá solicitarla a la convocante a través del (SICP) dentro del plazo establecido. Las consultas recibidas deberán ser respondidas por las convocantes y publicadas directamente a través del SICP.</p>

<p>Se prorrogará de forma automática en el SICP, el plazo tope para la realización de consultas cuando la fecha del acto de presentación de ofertas sea modificada.</p>

<p>La convocante podrá establecer una junta de aclaraciones para la evacuación de consultas sobre la convocatoria y los pliegos de bases y condiciones, de forma adicional a las consultas, debiendo fijar la fecha, hora y lugar de realización en el SICP.</p>

<p>La convocante podrá optar por responder las consultas en la Junta de Aclaraciones o podrá diferirlas, para que sean respondidas conforme con los plazos de respuestas o emisión de adendas. En todos los casos se deberá levantar acta circunstanciada.</p>

<p>Las aclaraciones realizadas durante los procedimientos de contratación no serán consideradas modificaciones a las bases de la contratación.</p>

<p>La inasistencia a la Junta de Aclaraciones no será motivo de descalificación de la oferta.</p>",,,False,False,False
Formato y firma de la oferta,,"<p>1. El formulario de oferta y la lista de precios serán firmados, física o electrónicamente, según corresponda por el oferente o por las personas debidamente facultadas para firmar en nombre del oferente.</p>

<p>2. No serán descalificadas las ofertas que no hayan sido firmadas en documentos considerados no sustanciales.</p>

<p>3. Los textos entre líneas, tachaduras o palabras superpuestas serán válidos solamente si llevan la firma de la persona que firma la oferta.</p>

<p>4. La falta de foliatura no podrá ser considerada como motivo de descalificación de las ofertas.</p>",,,False,False,False
Plazo para presentar las ofertas,,"<p>Las ofertas deberán ser recibidas por la convocante en la fecha y hora que se indican en el SICP.</p>

<p>La convocante podrá, extender el plazo originalmente establecido para la presentación de ofertas mediante la prórroga de fecha tope o la postergación de la apertura de ofertas.</p>

<p>En este caso todos los derechos y obligaciones de la convocante y de los oferentes previamente sujetos a la fecha límite original para presentar las ofertas, quedarán sujetos a la nueva fecha prorrogada.</p>

<p>Cuando la presentación de oferta sea electrónica la misma deberá sujetarse a la reglamentación vigente.</p>",,,False,False,False
Oferentes en coaseguro,,"<p>Dos o más interesados podrán presentar una oferta en forma conjunta, cumpliendo las disposiciones establecidas en la reglamentación emitida por la Superintendencia de Seguros relativa a las operaciones en coaseguros, bajo la figura del coaseguro, en cuyo caso ninguno de los miembros del coaseguro debe estar alcanzado por las prohibiciones para presentar ofertas ni contratar, previstas en la Ley N° 7021/22 “De Suministro y&nbsp; Contrataciones Públicas”.<br />
Los integrantes de una oferta en coaseguro, no podrán presentar ofertas individuales ni presentarse en coaseguro con otras empresas, en un mismo lote o ítem, lo que no impide que puedan presentarse individualmente o conformar otro coaseguro que participe en diferentes partidas.</p>

<p>Si los servicios serán proveídos por empresas coaseguradoras o se contratan pólizas en coaseguro, cada asegurador por separado será responsable por una parte de la suma total asegurada, conforme al compromiso de riesgo asumido por cada uno de los coaseguradores.</p>",,,False,False,False
Idioma de la oferta,"<p>La oferta deberá ser presentada en idioma castellano o en su defecto acompañada de su traducción oficial, realizada por un traductor público matriculado en la República del Paraguay.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>La convocante permitirá la presentación de catálogos, anexos técnicos o folletos en idioma distinto al castellano y sin traducción:</p>",,,"<p>Indique en este apartado si aceptará la presentación de documentos complementarios en idioma diferente al castellano y sin traducción.</p>

<p>Se podrá indicar expresamente el idioma a ser permitido.</p>

<p>Ejemplo: Catálogos únicamente en idioma inglés, portugués, entre otros.</p>

<p>En caso de no admitir la presentación en idioma diferente, se deberá seleccionar la opción: No Aplica.</p>",True,True,False
Precio y formulario de la oferta,,"<p style=""margin-left:20px; margin-right:22px"">El oferente indicará la tasa de premio de la oferta de los servicios que se propone suministrar, utilizando para ello el formulario de oferta y lista de precios, disponibles para su descarga a través del SICP, formando ambos un único documento.</p>

<p style=""margin-left:20px; margin-right:23px"">Cuando la presentación de la oferta se realice a través del módulo de oferta electrónica, se considerará que el listado de ítems forma parte del formulario de oferta electrónico, y deberá sujetarse en todo lo demás a la reglamentación vigente.</p>",,,False,False,False
