compiledRelease/parties/0/details/categories/0/id,compiledRelease/parties/0/details/categories/0/name
1,Pasajes y Transportes
2,"Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos"
3,Adquisición y Locación de inmuebles. Alquiler de muebles
4,Capacitaciones y Adiestramientos
5,"Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión"
6,Seguros
7,Servicios Técnicos
8,Publicidad y Propaganda
9,"Servicios de ceremonial, gastronomico y funerarios"
10,"Textiles, vestuarios y calzados"
11,"Utiles de oficina, Productos de papel y cartón e impresos"
12,Elementos e insumos de limpieza
13,"Utensilios de cocina y comedor, Productos de Porcelana, vidrio y loza"
14,Productos Alimenticios
15,Combustibles y Lubricantes
16,Productos quimicos
17,"Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud"
18,"Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas."
19,Bienes e insumos agropecuario y forestal
20,Minerales
21,"Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles"
22,"Maquinarias, Equipos y herramientas mayores - Equipos de transporte"
23,Muebles y Enseres
24,"Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento"
25,Equipos Militares y de Seguridad. Servicio de Seguridad y Vigilancia
10000000,Material Accesorios y Suministros de Plantas y Animales Vivos
11000000,Materiales de Minerales y Tejidos y de Plantas y Animales no Comestibles
12000000,Productos quimicos incluyendo los bio-quimicos y gases industriales
13000000,Resina y Colofonia y Caucho y Espuma y Pelicula y Materiales Elastomericos
14000000,Materiales y Productos de Papel
15000000,"Combustibles Aditivos para combustibles, Lubricantes y Materiales Anticorrosivos"
20000000,Maquinaria de mineria y perforacion de pozos y accesorios
21000000,"Maquinaria y Accesorios para Agricultura Pesca, Silvicultura y Fauna."
22000000,Maquinaria y Accesorios para Construccion y Edificacion
23000000,Maquinaria y Accesorios de Fabricacion y Transformacion Industrial
24000000,"Maquinaria Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales"
25000000,"Vehiculos Comerciales, Militares y Particulares - Accesorios y Componentes"
26000000,Maquinaria y Accesorios para Generacion y Distribucion de Energia
27000000,Herramientas y Maquinaria en General
30000000,"Componentes y Suministros de Fabricacion Estructuras, Obras y Construcciones"
31000000,Componentes y Suministros de Fabricacion
32000000,Componentes y Suministros Electronicos
39000000,Suministros componentes y accesorios electricos y de iluminacion
40000000,Sistemas Equipos y Componentes de Distribucion y Acondicionamiento
41000000,"Equipo de Laboratorio Medida, Observacion y Comprobacion"
42000000,Equipos Accesorios y Suministros Medicos
43000000,"Tecnologias de Informacion, Telecomunicaciones y Radiodifusiones"
44000000,Equipos Accesorios y Suministros de Oficina
45000000,Equipos y Suministros de Imprenta Fotograficos y Audiovisuales
46000000,"Equipos y Suministros de Defensa Orden Publico, Proteccion y Seguridad"
47000000,Equipos y Suministros de limpieza
48000000,Maquinaria Equipo y Suministros para la Industria de Servicios
49000000,Equipos suministros y accesorios deportivos y recreativos
50000000,Alimentos Bebidas y Tabaco
51000000,Medicamentos y Productos Farmaceuticos
52000000,"Muebles Accesorios, Electrodomesticos y Productos Electronicos de Consumo"
53000000,"Ropas, Maletas y Productos de Aseo Personal"
54000000,"Productos para Relojeria, Joyeria y Gemas"
55000000,Productos Publicados
56000000,Muebles y mobiliario
57000000,Inmuebles
60000000,"Materiales didacticos profesionales, Instrumentos musicales juegos, juguetes, artesania y equipamiento, material, accesorios y suministr"
70000000,"Servicios de Contratacion Agricola Pesquera, Forestal y de Fauna"
71000000,Servicios de Perforacion de Mineria Petroleo y Gas
72000000,Servicios de Construccion y Mantenimiento
73000000,"Servicios de Produccion, Fabricacion Industrial y Mantenimientos de maquinarias"
76000000,Servicios de Limpieza Industrial
77000000,Servicios Medioambientales
78000000,Servicios de Transporte Almacenaje y Correo
80000000,Servicios de Gestion Profesionales de Empresa y Administrativos
81000000,Servicios basados en ingenieria investigacion y tecnologia
82000000,"Servicios Editoriales  de Diseño, Graficos y de Bellas Artes"
83000000,Servicios Publicos y Servicios Relacionados con el Sector Publico
84000000,Servicios Financieros y de Seguros
85000000,Servicios Sanitarios
86000000,Servicios Educativos y de Formacion
90000000,"Servicios de Viajes, Alimentacion, Alojamiento y Entretenimiento"
91000000,Servicios Personales y Domesticos
92000000,Servicios de Defensa Nacional Orden Publico y Seguridad
93000000,Servicios Politicos y de Asuntos Civicos
94000000,Organizaciones y Clubes
95000000,"Terrenos, Edificios, Estructuras y Vías"
,
,
,
,"Servicios Editoriales de Diseño, Graficos y de Bellas Artes"
