title,content,nro_licitacion,tipo_variable,llm_response
Abastecimiento simultáneo,"Abastecimiento simultáneo
El sistema de abastecimiento simultáneo para esta licitación será:
No Aplica",356384,booleano,"{""tipo"": ""booleano"", ""confianza"": 0.7, ""explicacion"": ""La respuesta indica que no aplica, lo cual puede interpretarse como un valor booleano negativo.""}"
Aclaración de las ofertas,"Aclaración de las ofertas
Con el objeto de facilitar el proceso de revisión, evaluación, comparación y posterior calificación de ofertas, el Comité de Evaluación solicitará a los
oferentes, aclaraciones respecto de sus ofertas, dichas solicitudes y las respuestas de los oferentes se realizarán por escrito.
A los efectos de confirmar la información o documentación suministrada por el oferente, el Comité de Evaluación, podrá solicitar aclaraciones a cualquier
fuente pública o privada de información.
Las aclaraciones de los oferentes que no sean en respuesta a aquelas solicitadas por la convocante, no serán consideradas.
No se solicitará, ofrecerá, ni permitirá ninguna modificación a los precios ni a la sustancia de la oferta, excepto para confirmar la coreción de erores
aritméticos.",356384,texto libre,"{""tipo"": ""texto libre"", ""confianza"": 0.85, ""explicacion"": ""El contenido es un texto descriptivo que explica el proceso de aclaración de ofertas en un contexto contractual o de licitación.""}"
Aclaración de los documentos de la convocatoria,"Aclaración de los documentos de la convocatoria
Todo potencial oferente que necesite alguna aclaración de la convocatoria o del pliego de bases y condiciones, podrá
solicitarla a la convocante a través del (SICP) dentro del plazo establecido. Las consultas recibidas deberán ser
3/42
respondidas por las convocantes y publicadas directamente a través del SICP.
Se prorogará de forma automática en el SICP, el plazo tope para la realización de consultas cuando la fecha del acto de
presentación de ofertas sea modificada.
La convocante podrá establecer una junta de aclaraciones para la evacuación de consultas sobre la convocatoria y los
pliegos de bases y condiciones, de forma adicional a las consultas, debiendo fijar la fecha, hora y lugar de realización en el
SICP.
La convocante podrá optar por responder las consultas en la Junta de Aclaraciones o podrá diferirlas, para que sean
respondidas conforme con los plazos de respuestas o emisión de adendas. En todos los casos se deberá levantar acta
circunstanciada.
Las aclaraciones realizadas durante los procedimientos de contratación no serán consideradas modificaciones a las bases
de la contratación.
La inasistencia a la Junta de Aclaraciones no será motivo de descalificación de la oferta.",438944,texto libre,"{""tipo"": ""texto libre"", ""confianza"": 0.95, ""explicacion"": ""El contenido proporcionado es una explicación detallada sobre el proceso de aclaración de documentos en una convocatoria, incluyendo procedimientos y plazos.""}"
Aclaración de los documentos de la licitación,"Aclaración de los documentos de la licitación
Todo oferente potencial que necesite alguna aclaración del pliego de bases y condiciones podrá solicitarla a la convocante. El medio por el cual se recibirán
las consultas es el Sistema de Información de Contrataciones Públicas (SICP), y/o si es el caso, en la Junta de Aclaraciones que se realice en la fecha, hora y
direción indicados por la convocante.
La convocante responderá por escrito a toda solicitud de aclaración del pliego de bases y condiciones que reciba dentro del plazo establecido o que se derive
5/38
de la Junta de Aclaraciones.
La convocante publicará una copia de su respuesta, incluida una explicación de la consulta, pero sin identificar su procedencia, a través del Sistema de
Información de Contrataciones Públicas (SICP), dentro del plazo tope.
La inasistencia a la Junta de Aclaraciones no será motivo de descalificación de la oferta.
La convocante podrá optar por responder las consultas en la Junta de Aclaraciones o podrá diferirlas, para que sean respondidas conforme con los plazos de
respuestas o emisión de adendas. En todos los casos se deberá levantar acta circunstanciada.",356384,texto libre,"{""tipo"": ""texto libre"", ""confianza"": 0.95, ""explicacion"": ""El contenido es una explicación detallada sobre el proceso de aclaraciones en licitaciones, no se trata de datos numéricos, fechas ni categorías específicas.""}"
Adenda,"Adenda
Las modificaciones al presente procedimiento de contratación son los indicados a continuación:
DONDE DICE:
ESPECIFICACIONES TÉCNICAS Y SUMINISTROS REQUERIDOS
6 10171702- Fungicida ESTREPTOMICINA 13.3% 1 unidad Kilogramo
015 Estreptomicina + OXITETRACICLINA
+ 6.6% de un Kg. La fecha
Oxitetraciclina de vencimiento de los
productos deberá ser
como mínimo de 12
(doce) meses contados a
partir de la entrega del
producto. Los envases
deberán ser de material
impermeable, cerado y
lacrado en fábrica. No
deberán presentar
averías debido a golpes y
maltratos en el
transporte ni perdidas del
contenido. Cada envase
levará impreso o
adherida en la parte
frontal en forme legible,
con tinta indeleble la
etiqueta con los datos de
identificación del
producto
Recomendaciones de
Uso, Precauciones y
Advertencias según
Resolución n° 295/03
SENAVE.
DEBE DECIR:
ESPECIFICACIONES TÉCNICAS Y SUMINISTROS REQUERIDOS
3/38
6 10171702- Fungicida ESTREPTOMICINA 18.75% 1 unidad Kilogramo
015 Estreptomicina + OXITETRACICLINA 2%
+ de un Kg. La fecha de
Oxitetraciclina vencimiento de los
productos deberá ser
como mínimo de 12
(doce) meses contados a
partir de la entrega del
producto. Los envases
deberán ser de material
impermeable, cerado y
lacrado en fábrica. No
deberán presentar
averías debido a golpes y
maltratos en el
transporte ni perdidas del
contenido. Cada envase
levará impreso o
adherida en la parte
frontal en forme legible,
con tinta indeleble la
etiqueta con los datos de
identificación del
producto
Recomendaciones de
Uso, Precauciones y
Advertencias según
Resolución n° 295/03
SENAVE.
TODAS LAS DEMÁS CONDICIONES ESTABLECIDAS EN EL PLIEGO DE BASES Y CONDICIONES PERMANECEN VIGENTES, INVARIABLES E
INALTERABLES.
Se detectaron modificaciones en las siguientes cláusulas:
Seción: Suministros requeridos - especificaciones técnicas
Detale de los productos con las respectivas especificaciones técnicas
Se puede realizar una comparación de esta versión del pliego con la versión anterior en el siguiente enlace:
htps:/w.contrataciones.gov.py/licitaciones/convocatoria/356384-adquisicion-insecticidas-fertilizantes-fungicidas-snp-plurianual-
1/pliego/2/diferencias/1.html?secion=adenda
La adenda es el documento emitido por la convocante, mediante la cual se modifican aspectos establecidos en la convocatoria y/o en las bases de la licitación y/o en
los contratos suscriptos. La adenda será considerada parte integrante del documento cuyo contenido modifique.
4/38
DATOS DE LA LICITACIÓN
Los Datos de la Licitación constituye la información proporcionada por la convocante para establecer las condiciones a considerar del proceso particular, y que sirvan
de base para la elaboración de las ofertas por parte de los potenciales oferentes.",356384,texto libre,"{""tipo"": ""texto libre"", ""confianza"": 0.95, ""explicacion"": ""El contenido proporcionado es un adenda que detalla modificaciones en el procedimiento de contratación, especificando cambios en las especificaciones técnicas y suministros requeridos.""}"
Alcance de la cobertura de seguro,"Alcance de la cobertura de seguro
La cobertura de la póliza se regirá conforme a la carta de invitación y puntualmente a las especificaciones técnicas
establecidas en el mismo quedando por tanto sin efecto las condiciones generales, específicas y particulares de las pólizas
contratadas que se contrapongan o difieran a los términos y condiciones establecidos en dicho documento concursal.",389469,texto libre,"{""tipo"": ""texto libre"", ""confianza"": 0.95, ""explicacion"": ""El contenido proporcionado es una descripción detallada de las condiciones de la cobertura del seguro, no contiene datos numéricos ni fechas relevantes.""}"
Alcance y descripción de las obras,"Alcance y descripción de las obras
ITEM N° ESPECIFICACIONES TÉCNICAS
1. Consideraciones Ante eventuales inconvenientes puntuales durante los trabajos como consecuencia de
Generales instalaciones existentes, pero no previstas de otras instituciones ((Esap, Ande,
Copaco, Telefonías, etc.)), que puedan afectar la normal ejecución de los trabajos, la
empresa Contratista deberá presentar la alternativa de solución al inconveniente para
su aprobación por parte de la Municipalidad. Esto es con objeto de asegurar la pronta
continuidad de la obra.
El Contratista deberá tomar todos los recaudos necesarios a fin de poner en resguardo
cualquier material a ser utilizado u obra en ejecución, y serán de su exclusiva
responsabilidad los daños que pudieran ocurir por causa de las luvias o por causa de
incorecta ejecución en las propiedades colindantes a las obras, coriendo
exclusivamente por cuenta del Contratista cualquier gasto que surja respecto a lo
señalado anteriormente.
El Residente de Obra deberá permanecer en la zona de obras durante todo el tiempo
en que se realicen tareas en pista, desde el inicio hasta la Recepción Provisoria.
La Fiscalización determinará el mejoramiento del gálibo, donde fuera necesario, en
los sectores de las calzadas corespondientes al tramo de la Avenida Bruno Gugiari.
31/148
2. Movilización y Descripción
Desmovilización
Esta partida consiste en el traslado de personal, equipo, materiales, campamentos y
otros, que sean necesarios, al lugar en que se desarolará la obra antes de iniciar y al
finalizar los trabajos. La movilización incluye la obtención y pago de permisos,
suministro de servicios públicos, sean estos uso de energía eléctrica, agua, etc., y
seguros, todo a cuenta del Contratista.
OBSERVACIONES IMPORTANTES:
En el caso de que surgiesen inconvenientes puntuales durante los trabajos como
consecuencia de instalaciones existentes pero no previstas de otras instituciones
((ESAP, ANDE, COPACO, Telefonías, etc.)), que puedan afectar la normal ejecución de
los trabajos, la empresa Contratista deberá presentar la alternativa de solución al
inconveniente para su aprobación por parte de la Municipalidad. Esto, con objeto de
asegurar la pronta continuidad de la obra.
El Contratista deberá tomar todos los recaudos necesarios a fin de poner en
resguardo cualquier material a ser utilizado u obra en ejecución, y serán de su
exclusiva responsabilidad los daños que pudieran ocurir por causa de las luvias o
por causa de incorecta ejecución en las propiedades colindantes a las obras,
coriendo exclusivamente por cuenta del Contratista cualquier gasto que surja
respecto a lo señalado anteriormente.
El Residente de Obra deberá permanecer en la zona de obras durante todo el tiempo
en que se realicen tareas en pista, desde el inicio hasta la Recepción Provisoria.
Cualquier trabajo que no está expresamente indicado en planos, el Fiscal de Obra
determinará la solución y los procedimientos respectivos a ser efectuados para tal
menester.
32/148
3. REMOCIÓN DE Una vez delimitada el área a remover, se procederá a la remoción de la carpeta, tomando todas las
PAVIMENTO medidas de seguridad necesarias, tanto para el transeúnte como para la del empleado de la obra.
ASFÁLTICO
Los materiales retirados serán transportados por el Contratista a la Planta Asfáltica de la
Municipalidad de Asunción.
MÉTODO DE MEDICIÓN
La unidad de medida del ítem REMOCIÓN DE PAVIMENTO ASFÁLTICO será el metro cuadrado (m2),
medido en pista a través del área ejecutada de acuerdo con las exigencias de estas especificaciones y
las dimensiones señaladas en los documentos del proyecto u ordenadas por el Fiscal de Obra. Dicha
unidad de medida está indicada en los ítems 1.1.1, 1.2.1, 4.1.1, 4.2.1, 4.3.1 y 5.1 de la Planila de
Oferta.
FORMA DE PAGO
El pago se hará al respectivo precio unitario del contrato, por toda obra ejecutada de acuerdo con
estas especificaciones y a satisfación plena del Fiscal de Obra y coresponderá al ítem REMOCIÓN DE
PAVIMENTO ASFÁLTICO.
El precio unitario deberá cubrir todos los costos de limpieza previa que requiera la superficie, la
carga, transporte, descarga y acopio del material proveniente de la ejecución del ítem; la reparación a
satisfación de todos los elementos que hayan sido afectados por la ejecución de los trabajos; la
